iter	Passed	Remaining
742	8178	3093
743	8189	3082
744	8199	3070
745	8211	3060
746	8223	3049
747	8233	3037
748	8244	3026
749	8253	3015
750	8264	3004
751	8276	2993
752	8288	2983
753	8300	2972
754	8311	2961
755	8321	2949
756	8331	2938
757	8342	2927
758	8350	2915
759	8360	2904
760	8371	2893
761	8383	2882
762	8393	2871
763	8403	2859
764	8413	2848
765	8424	2837
766	8432	2825
767	8443	2814
768	8454	2803
769	8463	2791
770	8473	2780
771	8484	2769
772	8496	2758
773	8509	2748
774	8521	2737
775	8531	2726
776	8542	2715
777	8552	2704
778	8563	2693
779	8574	2682
780	8585	2671
781	8597	2660
782	8607	2649
783	8618	2638
784	8627	2626
785	8638	2615
786	8648	2604
787	8658	2593
788	8669	2582
789	8679	2570
790	8690	2559
791	8702	2549
792	8712	2538
793	8724	2527
794	8735	2516
795	8745	2504
796	8755	2493
797	8767	2482
798	8776	2471
799	8788	2460
800	8799	2449
801	8808	2438
802	8819	2427
803	8829	2416
804	8839	2404
805	8849	2393
806	8859	2382
807	8870	2371
808	8881	2360
809	8892	2349
810	8903	2338
811	8915	2327
812	8925	2316
813	8937	2305
814	8949	2295
815	8960	2283
816	8969	2272
817	8981	2261
818	8992	2250
819	9003	2240
820	9015	2229
821	9025	2217
822	9035	2206
823	9044	2195
824	9053	2183
825	9064	2172
826	9074	2161
827	9083	2150
828	9096	2139
829	9106	2128
830	9116	2117
831	9127	2106
832	9140	2095
833	9152	2085
834	9163	2074
835	9175	2063
836	9183	2051
837	9196	2041
838	9207	2030
839	9217	2019
840	9227	2007
841	9238	1996
842	9248	1985
843	9257	1974
844	9267	1963
845	9278	1952
846	9289	1941
847	9300	1930
848	9309	1918
849	9321	1908
850	9331	1896
851	9343	1886
852	9355	1875
853	9365	1864
854	9376	1853
855	9390	1842
856	9402	1832
857	9410	1820
858	9420	1809
859	9430	1798
860	9441	1787
861	9452	1776
862	9461	1765
863	9472	1754
864	9482	1743
865	9492	1731
866	9503	1720
867	9513	1709
868	9525	1699
869	9539	1688
870	9553	1678
871	9563	1667
872	9573	1655
873	9583	1644
874	9591	1633
875	9603	1622
876	9615	1611
877	9624	1600
878	9635	1589
879	9645	1578
880	9654	1567
881	9665	1556
882	9675	1544
883	9685	1533
884	9697	1523
885	9708	1512
886	9719	1501
887	9729	1490
888	9739	1479
889	9750	1468
890	9763	1457
891	9774	1446
892	9785	1435
893	9797	1424
894	9807	1413
895	9819	1402
896	9830	1391
897	9840	1380
898	9850	1369
899	9861	1358
900	9870	1347
901	9882	1336
902	9894	1325
903	9902	1314
904	9913	1303
905	9926	1292
906	9934	1281
907	9945	1270
908	9955	1259
909	9965	1248
910	9978	1237
911	9991	1226
912	10000	1215
913	10011	1204
914	10024	1194
915	10036	1183
916	10046	1172
917	10056	1161
918	10066	1150
919	10077	1139
920	10088	1128
921	10098	1117
922	10111	1106
923	10123	1095
924	10134	1084
925	10145	1073
926	10157	1062
927	10167	1051
928	10181	1041
929	10194	1030
930	10206	1019
931	10216	1008
932	10228	997
